code,dt
000001SZ,2022-10-13
000002SZ,2022-10-13
000157SZ,2022-10-13
000166SZ,2022-10-13
000333SZ,2022-10-13
000338SZ,2022-10-13
000538SZ,2022-10-13
000568SZ,2022-10-13
000596SZ,2022-10-13
000617SZ,2022-10-13
000625SZ,2022-10-13
000651SZ,2022-10-13
000661SZ,2022-10-13
000708SZ,2022-10-13
000725SZ,2022-10-13
000768SZ,2022-10-13
000776SZ,2022-10-13
000786SZ,2022-10-13
000800SZ,2022-10-13
000807SZ,2022-10-13
000858SZ,2022-10-13
000876SZ,2022-10-13
000895SZ,2022-10-13
000938SZ,2022-10-13
000963SZ,2022-10-13
000999SZ,2022-10-13
001965SZ,2022-10-13
002001SZ,2022-10-13
002007SZ,2022-10-13
002027SZ,2022-10-13
002028SZ,2022-10-13
002050SZ,2022-10-13
002129SZ,2022-10-13
002179SZ,2022-10-13
002230SZ,2022-10-13
002236SZ,2022-10-13
002241SZ,2022-10-13
002271SZ,2022-10-13
002304SZ,2022-10-13
002311SZ,2022-10-13
002371SZ,2022-10-13
002415SZ,2022-10-13
002422SZ,2022-10-13
002459SZ,2022-10-13
002460SZ,2022-10-13
002463SZ,2022-10-13
002466SZ,2022-10-13
002475SZ,2022-10-13
002493SZ,2022-10-13
002555SZ,2022-10-13
002594SZ,2022-10-13
002601SZ,2022-10-13
002648SZ,2022-10-13
002709SZ,2022-10-13
002714SZ,2022-10-13
002916SZ,2022-10-13
002920SZ,2022-10-13
002938SZ,2022-10-13
003816SZ,2022-10-13
300014SZ,2022-10-13
300033SZ,2022-10-13
300059SZ,2022-10-13
300122SZ,2022-10-13
300124SZ,2022-10-13
300274SZ,2022-10-13
300308SZ,2022-10-13
300316SZ,2022-10-13
300347SZ,2022-10-13
300394SZ,2022-10-13
300408SZ,2022-10-13
300413SZ,2022-10-13
300418SZ,2022-10-13
300433SZ,2022-10-13
300450SZ,2022-10-13
300498SZ,2022-10-13
300502SZ,2022-10-13
300628SZ,2022-10-13
300661SZ,2022-10-13
300750SZ,2022-10-13
300759SZ,2022-10-13
300760SZ,2022-10-13
300782SZ,2022-10-13
600000SS,2022-10-13
600010SS,2022-10-13
600011SS,2022-10-13
600015SS,2022-10-13
600016SS,2022-10-13
600018SS,2022-10-13
600019SS,2022-10-13
600023SS,2022-10-13
600025SS,2022-10-13
600026SS,2022-10-13
600028SS,2022-10-13
600029SS,2022-10-13
600031SS,2022-10-13
600036SS,2022-10-13
600048SS,2022-10-13
600050SS,2022-10-13
600061SS,2022-10-13
600085SS,2022-10-13
600089SS,2022-10-13
600104SS,2022-10-13
600111SS,2022-10-13
600115SS,2022-10-13
600161SS,2022-10-13
600183SS,2022-10-13
600188SS,2022-10-13
600196SS,2022-10-13
600219SS,2022-10-13
600233SS,2022-10-13
600276SS,2022-10-13
600309SS,2022-10-13
600332SS,2022-10-13
600346SS,2022-10-13
600362SS,2022-10-13
600377SS,2022-10-13
600406SS,2022-10-13
600415SS,2022-10-13
600426SS,2022-10-13
600436SS,2022-10-13
600438SS,2022-10-13
600489SS,2022-10-13
600519SS,2022-10-13
600570SS,2022-10-13
600585SS,2022-10-13
600588SS,2022-10-13
600600SS,2022-10-13
600660SS,2022-10-13
600674SS,2022-10-13
600741SS,2022-10-13
600760SS,2022-10-13
600795SS,2022-10-13
600809SS,2022-10-13
600875SS,2022-10-13
600886SS,2022-10-13
600887SS,2022-10-13
600926SS,2022-10-13
600989SS,2022-10-13
601006SS,2022-10-13
601009SS,2022-10-13
601012SS,2022-10-13
601021SS,2022-10-13
601058SS,2022-10-13
601066SS,2022-10-13
601088SS,2022-10-13
601100SS,2022-10-13
601117SS,2022-10-13
601138SS,2022-10-13
601166SS,2022-10-13
601169SS,2022-10-13
601186SS,2022-10-13
601225SS,2022-10-13
601229SS,2022-10-13
601238SS,2022-10-13
601288SS,2022-10-13
601318SS,2022-10-13
601319SS,2022-10-13
601328SS,2022-10-13
601336SS,2022-10-13
601360SS,2022-10-13
601390SS,2022-10-13
601398SS,2022-10-13
601600SS,2022-10-13
601601SS,2022-10-13
601607SS,2022-10-13
601618SS,2022-10-13
601628SS,2022-10-13
601633SS,2022-10-13
601658SS,2022-10-13
601668SS,2022-10-13
601669SS,2022-10-13
601688SS,2022-10-13
601689SS,2022-10-13
601698SS,2022-10-13
601699SS,2022-10-13
601766SS,2022-10-13
601788SS,2022-10-13
601799SS,2022-10-13
601800SS,2022-10-13
601808SS,2022-10-13
601816SS,2022-10-13
601818SS,2022-10-13
601838SS,2022-10-13
601857SS,2022-10-13
601865SS,2022-10-13
601872SS,2022-10-13
601877SS,2022-10-13
601878SS,2022-10-13
601881SS,2022-10-13
601888SS,2022-10-13
601899SS,2022-10-13
601901SS,2022-10-13
601919SS,2022-10-13
601939SS,2022-10-13
601985SS,2022-10-13
601988SS,2022-10-13
601998SS,2022-10-13
603019SS,2022-10-13
603195SS,2022-10-13
603259SS,2022-10-13
603260SS,2022-10-13
603288SS,2022-10-13
603369SS,2022-10-13
603501SS,2022-10-13
603659SS,2022-10-13
603799SS,2022-10-13
603806SS,2022-10-13
603833SS,2022-10-13
603986SS,2022-10-13
603993SS,2022-10-13
688008SS,2022-10-13
688009SS,2022-10-13
688012SS,2022-10-13
688036SS,2022-10-13
688111SS,2022-10-13
688169SS,2022-10-13
688396SS,2022-10-13
