code,dt
000001SZ,2023-10-31
000002SZ,2023-10-31
000157SZ,2023-10-31
000166SZ,2023-10-31
000333SZ,2023-10-31
000338SZ,2023-10-31
000538SZ,2023-10-31
000568SZ,2023-10-31
000596SZ,2023-10-31
000617SZ,2023-10-31
000625SZ,2023-10-31
000651SZ,2023-10-31
000661SZ,2023-10-31
000708SZ,2023-10-31
000725SZ,2023-10-31
000768SZ,2023-10-31
000776SZ,2023-10-31
000786SZ,2023-10-31
000800SZ,2023-10-31
000807SZ,2023-10-31
000858SZ,2023-10-31
000876SZ,2023-10-31
000895SZ,2023-10-31
000938SZ,2023-10-31
000963SZ,2023-10-31
000999SZ,2023-10-31
001965SZ,2023-10-31
002001SZ,2023-10-31
002007SZ,2023-10-31
002027SZ,2023-10-31
002028SZ,2023-10-31
002050SZ,2023-10-31
002129SZ,2023-10-31
002179SZ,2023-10-31
002230SZ,2023-10-31
002236SZ,2023-10-31
002241SZ,2023-10-31
002271SZ,2023-10-31
002304SZ,2023-10-31
002311SZ,2023-10-31
002371SZ,2023-10-31
002415SZ,2023-10-31
002422SZ,2023-10-31
002459SZ,2023-10-31
002460SZ,2023-10-31
002463SZ,2023-10-31
002466SZ,2023-10-31
002475SZ,2023-10-31
002493SZ,2023-10-31
002555SZ,2023-10-31
002594SZ,2023-10-31
002601SZ,2023-10-31
002648SZ,2023-10-31
002709SZ,2023-10-31
002714SZ,2023-10-31
002916SZ,2023-10-31
002920SZ,2023-10-31
002938SZ,2023-10-31
003816SZ,2023-10-31
300014SZ,2023-10-31
300033SZ,2023-10-31
300059SZ,2023-10-31
300122SZ,2023-10-31
300124SZ,2023-10-31
300274SZ,2023-10-31
300308SZ,2023-10-31
300316SZ,2023-10-31
300347SZ,2023-10-31
300394SZ,2023-10-31
300408SZ,2023-10-31
300413SZ,2023-10-31
300418SZ,2023-10-31
300433SZ,2023-10-31
300450SZ,2023-10-31
300498SZ,2023-10-31
300502SZ,2023-10-31
300628SZ,2023-10-31
300661SZ,2023-10-31
300750SZ,2023-10-31
300759SZ,2023-10-31
300760SZ,2023-10-31
300782SZ,2023-10-31
600000SS,2023-10-31
600010SS,2023-10-31
600011SS,2023-10-31
600015SS,2023-10-31
600016SS,2023-10-31
600018SS,2023-10-31
600019SS,2023-10-31
600023SS,2023-10-31
600025SS,2023-10-31
600026SS,2023-10-31
600028SS,2023-10-31
600029SS,2023-10-31
600031SS,2023-10-31
600036SS,2023-10-31
600048SS,2023-10-31
600050SS,2023-10-31
600061SS,2023-10-31
600085SS,2023-10-31
600089SS,2023-10-31
600104SS,2023-10-31
600111SS,2023-10-31
600115SS,2023-10-31
600161SS,2023-10-31
600183SS,2023-10-31
600188SS,2023-10-31
600196SS,2023-10-31
600219SS,2023-10-31
600233SS,2023-10-31
600276SS,2023-10-31
600309SS,2023-10-31
600332SS,2023-10-31
600346SS,2023-10-31
600362SS,2023-10-31
600377SS,2023-10-31
600406SS,2023-10-31
600415SS,2023-10-31
600426SS,2023-10-31
600436SS,2023-10-31
600438SS,2023-10-31
600489SS,2023-10-31
600519SS,2023-10-31
600570SS,2023-10-31
600585SS,2023-10-31
600588SS,2023-10-31
600600SS,2023-10-31
600660SS,2023-10-31
600674SS,2023-10-31
600741SS,2023-10-31
600760SS,2023-10-31
600795SS,2023-10-31
600809SS,2023-10-31
600875SS,2023-10-31
600886SS,2023-10-31
600887SS,2023-10-31
600926SS,2023-10-31
600989SS,2023-10-31
601006SS,2023-10-31
601009SS,2023-10-31
601012SS,2023-10-31
601021SS,2023-10-31
601058SS,2023-10-31
601066SS,2023-10-31
601088SS,2023-10-31
601100SS,2023-10-31
601117SS,2023-10-31
601138SS,2023-10-31
601166SS,2023-10-31
601169SS,2023-10-31
601186SS,2023-10-31
601225SS,2023-10-31
601229SS,2023-10-31
601238SS,2023-10-31
601288SS,2023-10-31
601318SS,2023-10-31
601319SS,2023-10-31
601328SS,2023-10-31
601336SS,2023-10-31
601360SS,2023-10-31
601390SS,2023-10-31
601398SS,2023-10-31
601600SS,2023-10-31
601601SS,2023-10-31
601607SS,2023-10-31
601618SS,2023-10-31
601628SS,2023-10-31
601633SS,2023-10-31
601658SS,2023-10-31
601668SS,2023-10-31
601669SS,2023-10-31
601688SS,2023-10-31
601689SS,2023-10-31
601698SS,2023-10-31
601699SS,2023-10-31
601766SS,2023-10-31
601788SS,2023-10-31
601799SS,2023-10-31
601800SS,2023-10-31
601808SS,2023-10-31
601816SS,2023-10-31
601818SS,2023-10-31
601838SS,2023-10-31
601857SS,2023-10-31
601865SS,2023-10-31
601872SS,2023-10-31
601877SS,2023-10-31
601878SS,2023-10-31
601881SS,2023-10-31
601888SS,2023-10-31
601899SS,2023-10-31
601901SS,2023-10-31
601919SS,2023-10-31
601939SS,2023-10-31
601985SS,2023-10-31
601988SS,2023-10-31
601998SS,2023-10-31
603019SS,2023-10-31
603195SS,2023-10-31
603259SS,2023-10-31
603260SS,2023-10-31
603288SS,2023-10-31
603369SS,2023-10-31
603501SS,2023-10-31
603659SS,2023-10-31
603799SS,2023-10-31
603806SS,2023-10-31
603833SS,2023-10-31
603986SS,2023-10-31
603993SS,2023-10-31
688008SS,2023-10-31
688009SS,2023-10-31
688012SS,2023-10-31
688036SS,2023-10-31
688111SS,2023-10-31
688169SS,2023-10-31
688396SS,2023-10-31
