sample_id,dt,pos_weight_mean,neg_weight_mean,beta_self_mean,beta_pos_mean,beta_neg_mean
1,2025-02-06,0.0046082954,0.004608295,0.7503599,2.637019e-13,0.24964008
1,2025-02-07,0.004608295,0.0046082954,0.77219796,2.6662274e-15,0.22780207
1,2025-02-10,0.004608295,0.0046082954,0.28584415,0.21400204,0.50015384
1,2025-02-11,0.004608295,0.004608296,0.6497158,0.109040685,0.24124351
1,2025-02-12,0.004608295,0.004608295,0.32412833,0.13152903,0.5443427
1,2025-02-13,0.004608295,0.004608295,0.16447589,0.20614244,0.62938166
1,2025-02-14,0.004608295,0.004608295,0.3502682,0.34649602,0.3032358
1,2025-02-17,0.0046082945,0.004608295,0.39795998,0.00016716565,0.6018728
1,2025-02-18,0.004608295,0.004608295,0.774008,0.0020716721,0.22392032
1,2025-02-19,0.004608295,0.004608295,2.8605698e-10,2.860576e-10,1.0
1,2025-02-20,0.0046082954,0.004608295,0.10635949,0.56477183,0.32886872
1,2025-02-21,0.0046082954,0.004608295,0.35421535,2.2255753e-21,0.64578456
1,2025-02-24,0.004608295,0.004608295,0.29046625,5.038491e-24,0.70953375
1,2025-02-25,0.004608295,0.004608295,0.10284562,0.62881184,0.26834255
1,2025-02-26,0.004608295,0.004608295,0.25751078,0.4602123,0.2822769
1,2025-02-27,0.0046082954,0.004608295,0.2583848,0.56172955,0.17988569
1,2025-02-28,0.0046082945,0.0046082954,0.8433528,0.1566473,2.3588968e-15
1,2025-03-03,0.004608295,0.004608295,0.6714285,0.32857156,3.2694153e-10
1,2025-03-04,0.004608295,0.0046082954,0.005472907,1.5929925e-10,0.9945271
1,2025-03-05,0.004608295,0.0046082954,0.4281918,0.1920069,0.37980127
