Date,Stock,Open,High,Low,Close,Volume,Turnover
2020-03-12,VERB,10080.0,10360.0,8400.0,8536.0,29,2.920090220718544e-05
2020-03-13,VERB,9360.0,10000.0,8560.0,9928.0,12,1.208313194780087e-05
2020-03-16,VERB,9200.0,9200.0,8640.0,8720.0,10,1.0069276623167392e-05
2020-03-17,VERB,8640.0,9288.0,8400.0,8800.0,19,1.9131625584018043e-05
2020-03-18,VERB,8480.0,8960.0,7200.0,7632.0,29,2.920090220718544e-05
2020-03-19,VERB,7680.0,9280.0,7680.0,9200.0,15,1.5103914934751088e-05
2020-03-20,VERB,9200.0,10000.0,8400.0,8640.0,6,6.041565973900435e-06
2020-03-23,VERB,8720.0,9480.0,8120.0,8400.0,13,1.309005961011761e-05
2020-03-24,VERB,8560.0,9064.0,8240.0,8240.0,23,2.3159336233285e-05
2020-03-25,VERB,8400.0,10000.0,8400.0,8960.0,23,2.3159336233285e-05
2020-03-26,VERB,9200.0,9200.0,8960.0,9160.0,12,1.208313194780087e-05
2020-03-27,VERB,8720.0,8976.0,8400.0,8880.0,16,1.6110842597067826e-05
2020-03-30,VERB,8640.0,9144.0,8640.0,8960.0,6,6.041565973900435e-06
2020-03-31,VERB,9200.0,11040.0,9200.0,10080.0,30,3.020782986950217e-05
2020-04-01,VERB,13520.0,13920.0,10800.0,11080.0,36,3.624939584340261e-05
2020-04-02,VERB,11200.0,12240.0,10664.0,11360.0,16,1.6110842597067826e-05
2020-04-03,VERB,11600.0,11824.0,10880.0,11120.0,8,8.055421298533913e-06
2020-04-06,VERB,11520.0,11856.0,10856.0,11120.0,14,1.4096987272434348e-05
2020-04-07,VERB,11200.0,12080.0,10880.0,11520.0,16,1.6110842597067826e-05
2020-04-08,VERB,11840.0,12080.0,11600.0,11600.0,11,1.107620428548413e-05
2020-04-09,VERB,11920.0,12000.0,11600.0,11760.0,7,7.048493636217174e-06
2020-04-13,VERB,12000.0,12000.0,10800.0,11352.0,11,1.107620428548413e-05
2020-04-14,VERB,11520.0,12000.0,11520.0,11720.0,9,9.062348960850653e-06
2020-04-15,VERB,11920.0,12000.0,11440.0,11840.0,13,1.309005961011761e-05
2020-04-16,VERB,12160.0,12240.0,11496.0,11920.0,9,9.062348960850653e-06
2020-04-17,VERB,12240.0,12320.0,11896.0,12000.0,18,1.8124697921701305e-05
2020-04-20,VERB,11360.0,12000.0,11200.0,11496.0,16,1.6110842597067826e-05
2020-04-21,VERB,11360.0,11760.0,10880.0,11040.0,8,8.055421298533913e-06
2020-04-22,VERB,11040.0,11760.0,10880.0,11480.0,8,8.055421298533913e-06
2020-04-23,VERB,11600.0,11840.0,11120.0,11200.0,5,5.034638311583696e-06
2020-04-24,VERB,11200.0,11272.0,11040.0,11040.0,7,7.048493636217174e-06
2020-04-27,VERB,11040.0,11600.0,10880.0,10960.0,5,5.034638311583696e-06
2020-04-28,VERB,11040.0,11280.0,10120.0,10720.0,21,2.1145480908651523e-05
2020-04-29,VERB,10800.0,11600.0,10480.0,10480.0,8,8.055421298533913e-06
2020-04-30,VERB,10480.0,10960.0,10480.0,10960.0,5,5.034638311583696e-06
2020-05-01,VERB,10960.0,11200.0,10400.0,10560.0,6,6.041565973900435e-06
2020-05-04,VERB,10640.0,10720.0,10080.0,10640.0,3,3.020782986950217e-06
2020-05-05,VERB,10640.0,10960.0,10400.0,10560.0,5,5.034638311583696e-06
2020-05-06,VERB,10800.0,11280.0,10400.0,10800.0,6,6.041565973900435e-06
2020-05-07,VERB,10960.0,10984.0,10560.0,10568.0,4,4.027710649266956e-06
2020-05-08,VERB,10640.0,10960.0,10640.0,10800.0,5,5.034638311583696e-06
2020-05-11,VERB,10560.0,11760.0,10560.0,11360.0,16,1.6110842597067826e-05
2020-05-12,VERB,11520.0,11680.0,11200.0,11200.0,5,5.034638311583696e-06
2020-05-13,VERB,11360.0,11368.0,10560.0,10560.0,5,5.034638311583696e-06
2020-05-14,VERB,10480.0,11360.0,10480.0,11280.0,20,2.0138553246334784e-05
2020-05-15,VERB,11200.0,11200.0,10480.0,10960.0,12,1.208313194780087e-05
2020-05-18,VERB,10960.0,10960.0,10000.0,10016.0,23,2.3159336233285e-05
2020-05-19,VERB,9600.0,9760.0,8640.0,9200.0,42,4.2290961817303045e-05
2020-05-20,VERB,9760.0,9920.0,9360.0,9600.0,10,1.0069276623167392e-05
2020-05-21,VERB,9200.0,9472.0,9200.0,9200.0,8,8.055421298533913e-06
2020-05-22,VERB,9360.0,9488.0,8848.0,9240.0,17,1.7117770259384567e-05
2020-05-26,VERB,9520.0,9520.0,8960.0,9360.0,6,6.041565973900435e-06
2020-05-27,VERB,9600.0,9600.0,8960.0,9360.0,13,1.309005961011761e-05
2020-05-28,VERB,9520.0,9520.0,9200.0,9200.0,6,6.041565973900435e-06
2020-05-29,VERB,9360.0,9520.0,9120.0,9336.0,6,6.041565973900435e-06
2020-06-01,VERB,9600.0,9600.0,8400.0,9440.0,27,2.718704688255196e-05
2020-06-02,VERB,9280.0,9600.0,9200.0,9520.0,17,1.7117770259384567e-05
2020-06-03,VERB,9600.0,9600.0,9200.0,9360.0,17,1.7117770259384567e-05
2020-06-04,VERB,9200.0,9920.0,9120.0,9680.0,13,1.309005961011761e-05
2020-06-05,VERB,9920.0,10560.0,9760.0,10160.0,25,2.517319155791848e-05
2020-06-08,VERB,10160.0,10320.0,9760.0,10320.0,18,1.8124697921701305e-05
2020-06-09,VERB,10080.0,10320.0,10000.0,10160.0,13,1.309005961011761e-05
2020-06-10,VERB,9600.0,10000.0,9136.0,9440.0,28,2.8193974544868696e-05
2020-06-11,VERB,9200.0,9200.0,8640.0,8880.0,22,2.215240857096826e-05
2020-06-12,VERB,9280.0,9280.0,8640.0,8720.0,15,1.5103914934751088e-05
2020-06-15,VERB,8800.0,9360.0,8400.0,8560.0,14,1.4096987272434348e-05
2020-06-16,VERB,8480.0,8800.0,8400.0,8400.0,16,1.6110842597067826e-05
2020-06-17,VERB,9040.0,9120.0,8640.0,8640.0,11,1.107620428548413e-05
2020-06-18,VERB,8800.0,8800.0,7840.0,8160.0,27,2.718704688255196e-05
2020-06-19,VERB,7920.0,8560.0,7920.0,8320.0,15,1.5103914934751088e-05
2020-06-22,VERB,8400.0,8640.0,8000.0,8240.0,16,1.6110842597067826e-05
2020-06-23,VERB,8320.0,8560.0,8320.0,8400.0,10,1.0069276623167392e-05
2020-06-24,VERB,8480.0,8584.0,8080.0,8240.0,4,4.027710649266956e-06
2020-06-25,VERB,8240.0,8720.0,8240.0,8640.0,5,5.034638311583696e-06
2020-06-26,VERB,8720.0,8880.0,8080.0,8880.0,14,1.4096987272434348e-05
