code,dt
AAPL,2024-03-18
ACRS,2024-03-18
ADP,2024-03-18
AFYA,2024-03-18
AGNC,2024-03-18
AGYS,2024-03-18
ALT,2024-03-18
AMGN,2024-03-18
AMPH,2024-03-18
AMZN,2024-03-18
ANIP,2024-03-18
AOSL,2024-03-18
APDN,2024-03-18
APLT,2024-03-18
APVO,2024-03-18
ARGX,2024-03-18
ARLP,2024-03-18
ATEX,2024-03-18
ATRA,2024-03-18
AUTL,2024-03-18
AVDL,2024-03-18
BCRX,2024-03-18
BHAT,2024-03-18
BLBD,2024-03-18
BMRN,2024-03-18
BNGO,2024-03-18
BUSE,2024-03-18
CAKE,2024-03-18
CASY,2024-03-18
CCOI,2024-03-18
CEVA,2024-03-18
CHY,2024-03-18
CLDX,2024-03-18
CLMT,2024-03-18
COHU,2024-03-18
COLM,2024-03-18
COST,2024-03-18
CPRT,2024-03-18
CSWC,2024-03-18
CSX,2024-03-18
DBX,2024-03-18
DCOM,2024-03-18
DKNG,2024-03-18
DMLP,2024-03-18
DOX,2024-03-18
EA,2024-03-18
EDIT,2024-03-18
ENPH,2024-03-18
ENSG,2024-03-18
ERNA,2024-03-18
ESGR,2024-03-18
ETNB,2024-03-18
EXTR,2024-03-18
FANG,2024-03-18
FARO,2024-03-18
FATE,2024-03-18
FGEN,2024-03-18
FIVE,2024-03-18
FIVN,2024-03-18
FLGT,2024-03-18
FOLD,2024-03-18
FORM,2024-03-18
FOXA,2024-03-18
FRPT,2024-03-18
FSLR,2024-03-18
FTAI,2024-03-18
GBDC,2024-03-18
GDYN,2024-03-18
GGAL,2024-03-18
GNLN,2024-03-18
GRFS,2024-03-18
GT,2024-03-18
HCAT,2024-03-18
HCM,2024-03-18
HFWA,2024-03-18
HOLX,2024-03-18
HQY,2024-03-18
HUBG,2024-03-18
IAC,2024-03-18
ICLR,2024-03-18
IDCC,2024-03-18
IEP,2024-03-18
IHRT,2024-03-18
ILMN,2024-03-18
ILPT,2024-03-18
IMAB,2024-03-18
IMOS,2024-03-18
INMD,2024-03-18
INTZ,2024-03-18
JAZZ,2024-03-18
JKHY,2024-03-18
JRVR,2024-03-18
KIDS,2024-03-18
LBRDK,2024-03-18
LGND,2024-03-18
LMAT,2024-03-18
LPLA,2024-03-18
LULU,2024-03-18
MASI,2024-03-18
MAT,2024-03-18
MATW,2024-03-18
MBIN,2024-03-18
MBIO,2024-03-18
MCRB,2024-03-18
MDB,2024-03-18
MDLZ,2024-03-18
MELI,2024-03-18
MIRM,2024-03-18
MLKN,2024-03-18
MNMD,2024-03-18
MNRO,2024-03-18
MPWR,2024-03-18
MRCY,2024-03-18
MRSN,2024-03-18
MTVA,2024-03-18
NAAS,2024-03-18
NDAQ,2024-03-18
NDSN,2024-03-18
NEGG,2024-03-18
NOVT,2024-03-18
NVDA,2024-03-18
NWE,2024-03-18
NWSA,2024-03-18
NXST,2024-03-18
OCX,2024-03-18
ODFL,2024-03-18
OMAB,2024-03-18
OPCH,2024-03-18
OPRA,2024-03-18
ORGO,2024-03-18
OTRK,2024-03-18
OZK,2024-03-18
PAGP,2024-03-18
PCH,2024-03-18
PEGA,2024-03-18
PENG,2024-03-18
PENN,2024-03-18
PFBC,2024-03-18
PGNY,2024-03-18
PHAT,2024-03-18
PHUN,2024-03-18
PINC,2024-03-18
PLUG,2024-03-18
PLXS,2024-03-18
PYPL,2024-03-18
QLYS,2024-03-18
QNCX,2024-03-18
QQQX,2024-03-18
QVCGA,2024-03-18
RAPT,2024-03-18
RBBN,2024-03-18
RCKT,2024-03-18
REPL,2024-03-18
RMBS,2024-03-18
ROAD,2024-03-18
ROKU,2024-03-18
ROP,2024-03-18
RUSHA,2024-03-18
SANM,2024-03-18
SATS,2024-03-18
SBCF,2024-03-18
SBLK,2024-03-18
SBUX,2024-03-18
SCHL,2024-03-18
SCSC,2024-03-18
SDGR,2024-03-18
SEIC,2024-03-18
SFIX,2024-03-18
SGRY,2024-03-18
SKYW,2024-03-18
SLP,2024-03-18
SNES,2024-03-18
STAA,2024-03-18
STLD,2024-03-18
STOK,2024-03-18
SWKS,2024-03-18
TER,2024-03-18
TFIN,2024-03-18
TIGO,2024-03-18
TILE,2024-03-18
TPIC,2024-03-18
TTEC,2024-03-18
TTEK,2024-03-18
TTGT,2024-03-18
UXIN,2024-03-18
VERU,2024-03-18
VLYPP,2024-03-18
VNOM,2024-03-18
VRNS,2024-03-18
VRSN,2024-03-18
WDAY,2024-03-18
WERN,2024-03-18
WINA,2024-03-18
WKHS,2024-03-18
WRLD,2024-03-18
XP,2024-03-18
XTKG,2024-03-18
YY,2024-03-18
ZION,2024-03-18
ZM,2024-03-18
