code,dt
ACET,2025-02-12
ADAP,2025-02-12
ADI,2025-02-12
ADPT,2025-02-12
ADTN,2025-02-12
AGEN,2025-02-12
ALGN,2025-02-12
ALLK,2025-02-12
AMD,2025-02-12
AMWD,2025-02-12
ARDX,2025-02-12
ARQT,2025-02-12
ASTE,2025-02-12
AUPH,2025-02-12
AVXL,2025-02-12
AZTA,2025-02-12
BAND,2025-02-12
BECN,2025-02-12
BFC,2025-02-12
BGC,2025-02-12
BHF,2025-02-12
BHFAL,2025-02-12
BKNG,2025-02-12
BL,2025-02-12
BOKF,2025-02-12
BRKR,2025-02-12
CACC,2025-02-12
CAR,2025-02-12
CDNA,2025-02-12
CG,2025-02-12
CGBD,2025-02-12
CHI,2025-02-12
CHTR,2025-02-12
CHX,2025-02-12
CLNE,2025-02-12
CME,2025-02-12
CNOB,2025-02-12
CNXN,2025-02-12
CPRX,2025-02-12
CSGP,2025-02-12
CSGS,2025-02-12
CSIQ,2025-02-12
CVCO,2025-02-12
CVLT,2025-02-12
CYRX,2025-02-12
DDOG,2025-02-12
DOOO,2025-02-12
DSGX,2025-02-12
DTIL,2025-02-12
ECPG,2025-02-12
EEFT,2025-02-12
EFSC,2025-02-12
ENTG,2025-02-12
ESPR,2025-02-12
ETSY,2025-02-12
EXC,2025-02-12
FAMI,2025-02-12
FFIV,2025-02-12
FITB,2025-02-12
FIZZ,2025-02-12
FMBH,2025-02-12
FOX,2025-02-12
FTNT,2025-02-12
FULT,2025-02-12
GABC,2025-02-12
GEN,2025-02-12
GH,2025-02-12
GMAB,2025-02-12
GNPX,2025-02-12
GO,2025-02-12
GOGL,2025-02-12
GOOG,2025-02-12
GPRO,2025-02-12
GSHD,2025-02-12
GSM,2025-02-12
GWAV,2025-02-12
HAIN,2025-02-12
HBAN,2025-02-12
HEPA,2025-02-12
HURN,2025-02-12
HWKN,2025-02-12
IBIO,2025-02-12
ICFI,2025-02-12
IGMS,2025-02-12
IMKTA,2025-02-12
INCY,2025-02-12
INO,2025-02-12
IRDM,2025-02-12
IRTC,2025-02-12
IRWD,2025-02-12
ITCI,2025-02-12
JACK,2025-02-12
JD,2025-02-12
JJSF,2025-02-12
KALA,2025-02-12
KHC,2025-02-12
KLAC,2025-02-12
KRRO,2025-02-12
KRYS,2025-02-12
LANC,2025-02-12
LBTYA,2025-02-12
LIVN,2025-02-12
LKCO,2025-02-12
LNTH,2025-02-12
LOGI,2025-02-12
LPRO,2025-02-12
LRCX,2025-02-12
LSCC,2025-02-12
LSTR,2025-02-12
MAR,2025-02-12
MARA,2025-02-12
MCHP,2025-02-12
MEOH,2025-02-12
META,2025-02-12
MGTX,2025-02-12
MKSI,2025-02-12
MMYT,2025-02-12
MORN,2025-02-12
MRUS,2025-02-12
MTLS,2025-02-12
MTSI,2025-02-12
MVIS,2025-02-12
MXL,2025-02-12
NBIX,2025-02-12
NFE,2025-02-12
NMIH,2025-02-12
NMRK,2025-02-12
NNDM,2025-02-12
NSIT,2025-02-12
NTCT,2025-02-12
NVAX,2025-02-12
OCUL,2025-02-12
ODP,2025-02-12
OLED,2025-02-12
ONB,2025-02-12
OTEX,2025-02-12
PACB,2025-02-12
PATK,2025-02-12
PAYX,2025-02-12
PEP,2025-02-12
PERI,2025-02-12
PI,2025-02-12
PLYA,2025-02-12
PRDO,2025-02-12
PRGS,2025-02-12
PTGX,2025-02-12
QCOM,2025-02-12
QCRH,2025-02-12
QDEL,2025-02-12
QFIN,2025-02-12
RGEN,2025-02-12
RILY,2025-02-12
RPAY,2025-02-12
RPD,2025-02-12
SABR,2025-02-12
SEDG,2025-02-12
SHEN,2025-02-12
SIRI,2025-02-12
SLNO,2025-02-12
SNDL,2025-02-12
SNEX,2025-02-12
SONO,2025-02-12
SPT,2025-02-12
SSNC,2025-02-12
STGW,2025-02-12
STKL,2025-02-12
STRL,2025-02-12
STX,2025-02-12
SWTX,2025-02-12
SYNA,2025-02-12
TFSL,2025-02-12
TIGR,2025-02-12
TNXP,2025-02-12
TOWN,2025-02-12
TRI,2025-02-12
TRIP,2025-02-12
TRMB,2025-02-12
TRNS,2025-02-12
TRS,2025-02-12
TSCO,2025-02-12
TSEM,2025-02-12
TVTX,2025-02-12
TXRH,2025-02-12
VC,2025-02-12
VCEL,2025-02-12
VECO,2025-02-12
VIAV,2025-02-12
VICR,2025-02-12
VIR,2025-02-12
VRTX,2025-02-12
VSTM,2025-02-12
VTRS,2025-02-12
WDFC,2025-02-12
WSBC,2025-02-12
WSC,2025-02-12
WYNN,2025-02-12
XENE,2025-02-12
XNCR,2025-02-12
XRAY,2025-02-12
ZS,2025-02-12
