Date,Stock,Open,High,Low,Close,Volume,Turnover
2020-03-12,TNXP,480000.0,499200.0,422400.0,486400.0,8,1.1631592568575507e-06
2020-03-13,TNXP,448000.0,460800.0,396800.0,409600.0,5,7.269745355359692e-07
2020-03-16,TNXP,371200.0,384000.0,320000.0,339200.0,5,7.269745355359692e-07
2020-03-17,TNXP,371200.0,454400.0,352000.0,371200.0,5,7.269745355359692e-07
2020-03-18,TNXP,384000.0,416000.0,332800.0,339200.0,5,7.269745355359692e-07
2020-03-19,TNXP,371200.0,371200.0,339200.0,364800.0,4,5.815796284287754e-07
2020-03-20,TNXP,704000.0,832000.0,556800.0,620800.0,129,1.875594301682801e-05
2020-03-23,TNXP,601600.0,601600.0,454400.0,544000.0,22,3.1986879563582648e-06
2020-03-24,TNXP,537600.0,672000.0,499200.0,633600.0,18,2.617108327929489e-06
2020-03-25,TNXP,588800.0,608000.0,460800.0,473600.0,18,2.617108327929489e-06
2020-03-26,TNXP,448000.0,486400.0,428800.0,460800.0,6,8.723694426431631e-07
2020-03-27,TNXP,467200.0,473600.0,416000.0,467200.0,4,5.815796284287754e-07
2020-03-30,TNXP,467200.0,473600.0,428800.0,435200.0,5,7.269745355359692e-07
2020-03-31,TNXP,428800.0,467200.0,416000.0,454400.0,4,5.815796284287754e-07
2020-04-01,TNXP,435200.0,448000.0,396800.0,416000.0,3,4.361847213215816e-07
2020-04-02,TNXP,409600.0,454400.0,409600.0,435200.0,3,4.361847213215816e-07
2020-04-03,TNXP,435200.0,480000.0,416000.0,441600.0,8,1.1631592568575507e-06
2020-04-06,TNXP,448000.0,473600.0,428800.0,467200.0,3,4.361847213215816e-07
2020-04-07,TNXP,460800.0,473600.0,441600.0,448000.0,3,4.361847213215816e-07
2020-04-08,TNXP,435200.0,460800.0,435200.0,448000.0,3,4.361847213215816e-07
2020-04-09,TNXP,441600.0,480000.0,428800.0,460800.0,4,5.815796284287754e-07
2020-04-13,TNXP,473600.0,512000.0,448000.0,492800.0,5,7.269745355359692e-07
2020-04-14,TNXP,499200.0,531200.0,480000.0,512000.0,4,5.815796284287754e-07
2020-04-15,TNXP,499200.0,505600.0,473600.0,492800.0,3,4.361847213215816e-07
2020-04-16,TNXP,480000.0,499200.0,473600.0,480000.0,2,2.907898142143877e-07
2020-04-17,TNXP,473600.0,480000.0,467200.0,473600.0,2,2.907898142143877e-07
