code,dt
A,2022-11-23
AAPL,2022-11-23
ABBV,2022-11-23
ABT,2022-11-23
ACGL,2022-11-23
ACN,2022-11-23
ADBE,2022-11-23
ADI,2022-11-23
ADM,2022-11-23
ADP,2022-11-23
ADSK,2022-11-23
AEE,2022-11-23
AEP,2022-11-23
AES,2022-11-23
AFL,2022-11-23
AIG,2022-11-23
AIZ,2022-11-23
AJG,2022-11-23
AKAM,2022-11-23
ALB,2022-11-23
ALGN,2022-11-23
ALL,2022-11-23
ALLE,2022-11-23
AMAT,2022-11-23
AMCR,2022-11-23
AMD,2022-11-23
AME,2022-11-23
AMGN,2022-11-23
AMP,2022-11-23
AMT,2022-11-23
AMZN,2022-11-23
ANET,2022-11-23
ANSS,2022-11-23
AON,2022-11-23
AOS,2022-11-23
APA,2022-11-23
APD,2022-11-23
APH,2022-11-23
APO,2022-11-23
APTV,2022-11-23
ARE,2022-11-23
ATO,2022-11-23
AVB,2022-11-23
AVGO,2022-11-23
AVY,2022-11-23
AWK,2022-11-23
AXON,2022-11-23
AXP,2022-11-23
AZO,2022-11-23
BA,2022-11-23
BAC,2022-11-23
BALL,2022-11-23
BAX,2022-11-23
BBY,2022-11-23
BDX,2022-11-23
BEN,2022-11-23
BG,2022-11-23
BK,2022-11-23
BKNG,2022-11-23
BKR,2022-11-23
BLDR,2022-11-23
BLK,2022-11-23
BMY,2022-11-23
BR,2022-11-23
BRO,2022-11-23
BSX,2022-11-23
BX,2022-11-23
BXP,2022-11-23
C,2022-11-23
CAG,2022-11-23
CAH,2022-11-23
CAT,2022-11-23
CB,2022-11-23
CBOE,2022-11-23
CBRE,2022-11-23
CCL,2022-11-23
CDNS,2022-11-23
CDW,2022-11-23
CF,2022-11-23
CFG,2022-11-23
CHD,2022-11-23
CHRW,2022-11-23
CHTR,2022-11-23
CI,2022-11-23
CINF,2022-11-23
CL,2022-11-23
CLX,2022-11-23
CMCSA,2022-11-23
CME,2022-11-23
CMG,2022-11-23
CMI,2022-11-23
CMS,2022-11-23
CNC,2022-11-23
CNP,2022-11-23
COF,2022-11-23
COO,2022-11-23
COP,2022-11-23
COR,2022-11-23
COST,2022-11-23
CPAY,2022-11-23
CPB,2022-11-23
CPRT,2022-11-23
CPT,2022-11-23
CRL,2022-11-23
CRM,2022-11-23
CRWD,2022-11-23
CSCO,2022-11-23
CSGP,2022-11-23
CSX,2022-11-23
CTAS,2022-11-23
CTRA,2022-11-23
CTSH,2022-11-23
CTVA,2022-11-23
CVS,2022-11-23
CVX,2022-11-23
CZR,2022-11-23
D,2022-11-23
DAL,2022-11-23
DAY,2022-11-23
DD,2022-11-23
DE,2022-11-23
DECK,2022-11-23
DELL,2022-11-23
DFS,2022-11-23
DG,2022-11-23
DGX,2022-11-23
DHI,2022-11-23
DHR,2022-11-23
DIS,2022-11-23
DLR,2022-11-23
DLTR,2022-11-23
DOC,2022-11-23
DOV,2022-11-23
DOW,2022-11-23
DPZ,2022-11-23
DRI,2022-11-23
DTE,2022-11-23
DUK,2022-11-23
DVA,2022-11-23
DVN,2022-11-23
DXCM,2022-11-23
EA,2022-11-23
EBAY,2022-11-23
ECL,2022-11-23
ED,2022-11-23
EFX,2022-11-23
EG,2022-11-23
EIX,2022-11-23
EL,2022-11-23
ELV,2022-11-23
EMN,2022-11-23
EMR,2022-11-23
ENPH,2022-11-23
EOG,2022-11-23
EPAM,2022-11-23
EQIX,2022-11-23
EQR,2022-11-23
EQT,2022-11-23
ERIE,2022-11-23
ES,2022-11-23
ESS,2022-11-23
