code,dt
A,2020-05-14
AAPL,2020-05-14
ABBV,2020-05-14
ABT,2020-05-14
ACGL,2020-05-14
ACN,2020-05-14
ADBE,2020-05-14
ADI,2020-05-14
ADM,2020-05-14
ADP,2020-05-14
ADSK,2020-05-14
AEE,2020-05-14
AEP,2020-05-14
AES,2020-05-14
AFL,2020-05-14
AIG,2020-05-14
AIZ,2020-05-14
AJG,2020-05-14
AKAM,2020-05-14
ALB,2020-05-14
ALGN,2020-05-14
ALL,2020-05-14
ALLE,2020-05-14
AMAT,2020-05-14
AMCR,2020-05-14
AMD,2020-05-14
AME,2020-05-14
AMGN,2020-05-14
AMP,2020-05-14
AMT,2020-05-14
AMZN,2020-05-14
ANET,2020-05-14
ANSS,2020-05-14
AON,2020-05-14
AOS,2020-05-14
APA,2020-05-14
APD,2020-05-14
APH,2020-05-14
APO,2020-05-14
APTV,2020-05-14
ARE,2020-05-14
ATO,2020-05-14
AVB,2020-05-14
AVGO,2020-05-14
AVY,2020-05-14
AWK,2020-05-14
AXON,2020-05-14
AXP,2020-05-14
AZO,2020-05-14
BA,2020-05-14
BAC,2020-05-14
BALL,2020-05-14
BAX,2020-05-14
BBY,2020-05-14
BDX,2020-05-14
BEN,2020-05-14
BG,2020-05-14
BK,2020-05-14
BKNG,2020-05-14
BKR,2020-05-14
BLDR,2020-05-14
BLK,2020-05-14
BMY,2020-05-14
BR,2020-05-14
BRO,2020-05-14
BSX,2020-05-14
BX,2020-05-14
BXP,2020-05-14
C,2020-05-14
CAG,2020-05-14
CAH,2020-05-14
CAT,2020-05-14
CB,2020-05-14
CBOE,2020-05-14
CBRE,2020-05-14
CCL,2020-05-14
CDNS,2020-05-14
CDW,2020-05-14
CF,2020-05-14
CFG,2020-05-14
CHD,2020-05-14
CHRW,2020-05-14
CHTR,2020-05-14
CI,2020-05-14
CINF,2020-05-14
CL,2020-05-14
CLX,2020-05-14
CMCSA,2020-05-14
CME,2020-05-14
CMG,2020-05-14
CMI,2020-05-14
CMS,2020-05-14
CNC,2020-05-14
CNP,2020-05-14
COF,2020-05-14
COO,2020-05-14
COP,2020-05-14
COR,2020-05-14
COST,2020-05-14
CPAY,2020-05-14
CPB,2020-05-14
CPRT,2020-05-14
CPT,2020-05-14
CRL,2020-05-14
CRM,2020-05-14
CRWD,2020-05-14
CSCO,2020-05-14
CSGP,2020-05-14
CSX,2020-05-14
CTAS,2020-05-14
CTRA,2020-05-14
CTSH,2020-05-14
CTVA,2020-05-14
CVS,2020-05-14
CVX,2020-05-14
CZR,2020-05-14
D,2020-05-14
DAL,2020-05-14
DAY,2020-05-14
DD,2020-05-14
DE,2020-05-14
DECK,2020-05-14
DELL,2020-05-14
DFS,2020-05-14
DG,2020-05-14
DGX,2020-05-14
DHI,2020-05-14
DHR,2020-05-14
DIS,2020-05-14
DLR,2020-05-14
DLTR,2020-05-14
DOC,2020-05-14
DOV,2020-05-14
DOW,2020-05-14
DPZ,2020-05-14
DRI,2020-05-14
DTE,2020-05-14
DUK,2020-05-14
DVA,2020-05-14
DVN,2020-05-14
DXCM,2020-05-14
EA,2020-05-14
EBAY,2020-05-14
ECL,2020-05-14
ED,2020-05-14
EFX,2020-05-14
EG,2020-05-14
EIX,2020-05-14
