code,dt
A,2024-04-26
AAPL,2024-04-26
ABBV,2024-04-26
ABT,2024-04-26
ACGL,2024-04-26
ACN,2024-04-26
ADBE,2024-04-26
ADI,2024-04-26
ADM,2024-04-26
ADP,2024-04-26
ADSK,2024-04-26
AEE,2024-04-26
AEP,2024-04-26
AES,2024-04-26
AFL,2024-04-26
AIG,2024-04-26
AIZ,2024-04-26
AJG,2024-04-26
AKAM,2024-04-26
ALB,2024-04-26
ALGN,2024-04-26
ALL,2024-04-26
ALLE,2024-04-26
AMAT,2024-04-26
AMCR,2024-04-26
AMD,2024-04-26
AME,2024-04-26
AMGN,2024-04-26
AMP,2024-04-26
AMT,2024-04-26
AMZN,2024-04-26
ANET,2024-04-26
ANSS,2024-04-26
AON,2024-04-26
AOS,2024-04-26
APA,2024-04-26
APD,2024-04-26
APH,2024-04-26
APO,2024-04-26
APTV,2024-04-26
ARE,2024-04-26
ATO,2024-04-26
AVB,2024-04-26
AVGO,2024-04-26
AVY,2024-04-26
AWK,2024-04-26
AXON,2024-04-26
AXP,2024-04-26
AZO,2024-04-26
BA,2024-04-26
BAC,2024-04-26
BALL,2024-04-26
BAX,2024-04-26
BBY,2024-04-26
BDX,2024-04-26
BEN,2024-04-26
BG,2024-04-26
BK,2024-04-26
BKNG,2024-04-26
BKR,2024-04-26
BLDR,2024-04-26
BLK,2024-04-26
BMY,2024-04-26
BR,2024-04-26
BRO,2024-04-26
BSX,2024-04-26
BX,2024-04-26
BXP,2024-04-26
C,2024-04-26
CAG,2024-04-26
CAH,2024-04-26
CAT,2024-04-26
CB,2024-04-26
CBOE,2024-04-26
CBRE,2024-04-26
CCL,2024-04-26
CDNS,2024-04-26
CDW,2024-04-26
CF,2024-04-26
CFG,2024-04-26
CHD,2024-04-26
CHRW,2024-04-26
CHTR,2024-04-26
CI,2024-04-26
CINF,2024-04-26
CL,2024-04-26
CLX,2024-04-26
CMCSA,2024-04-26
CME,2024-04-26
CMG,2024-04-26
CMI,2024-04-26
CMS,2024-04-26
CNC,2024-04-26
CNP,2024-04-26
COF,2024-04-26
COO,2024-04-26
COP,2024-04-26
COR,2024-04-26
COST,2024-04-26
CPAY,2024-04-26
CPB,2024-04-26
CPRT,2024-04-26
CPT,2024-04-26
CRL,2024-04-26
CRM,2024-04-26
CRWD,2024-04-26
CSCO,2024-04-26
CSGP,2024-04-26
CSX,2024-04-26
CTAS,2024-04-26
CTRA,2024-04-26
CTSH,2024-04-26
CTVA,2024-04-26
CVS,2024-04-26
CVX,2024-04-26
CZR,2024-04-26
D,2024-04-26
DAL,2024-04-26
DAY,2024-04-26
DD,2024-04-26
DE,2024-04-26
DECK,2024-04-26
DELL,2024-04-26
DFS,2024-04-26
DG,2024-04-26
DGX,2024-04-26
DHI,2024-04-26
DHR,2024-04-26
DIS,2024-04-26
DLR,2024-04-26
DLTR,2024-04-26
DOC,2024-04-26
DOV,2024-04-26
DOW,2024-04-26
DPZ,2024-04-26
DRI,2024-04-26
DTE,2024-04-26
DUK,2024-04-26
DVA,2024-04-26
DVN,2024-04-26
DXCM,2024-04-26
EA,2024-04-26
EBAY,2024-04-26
ECL,2024-04-26
ED,2024-04-26
EFX,2024-04-26
EG,2024-04-26
EIX,2024-04-26
EL,2024-04-26
ELV,2024-04-26
EMN,2024-04-26
EMR,2024-04-26
ENPH,2024-04-26
EOG,2024-04-26
EPAM,2024-04-26
EQIX,2024-04-26
EQR,2024-04-26
EQT,2024-04-26
ERIE,2024-04-26
ES,2024-04-26
ESS,2024-04-26
ETN,2024-04-26
ETR,2024-04-26
EVRG,2024-04-26
EW,2024-04-26
EXC,2024-04-26
EXPD,2024-04-26
EXPE,2024-04-26
EXR,2024-04-26
F,2024-04-26
FANG,2024-04-26
FAST,2024-04-26
FCX,2024-04-26
FDS,2024-04-26
FDX,2024-04-26
FE,2024-04-26
FFIV,2024-04-26
FI,2024-04-26
FICO,2024-04-26
FIS,2024-04-26
FITB,2024-04-26
FOX,2024-04-26
FOXA,2024-04-26
FRT,2024-04-26
FSLR,2024-04-26
FTNT,2024-04-26
FTV,2024-04-26
GD,2024-04-26
GDDY,2024-04-26
GE,2024-04-26
GEN,2024-04-26
GILD,2024-04-26
GIS,2024-04-26
GL,2024-04-26
GLW,2024-04-26
GM,2024-04-26
GNRC,2024-04-26
GOOG,2024-04-26
GOOGL,2024-04-26
GPC,2024-04-26
GPN,2024-04-26
GRMN,2024-04-26
GS,2024-04-26
GWW,2024-04-26
HAL,2024-04-26
HAS,2024-04-26
HBAN,2024-04-26
HCA,2024-04-26
HD,2024-04-26
HES,2024-04-26
HIG,2024-04-26
HII,2024-04-26
HLT,2024-04-26
HOLX,2024-04-26
HON,2024-04-26
HPE,2024-04-26
HPQ,2024-04-26
HRL,2024-04-26
HSIC,2024-04-26
HST,2024-04-26
HSY,2024-04-26
HUBB,2024-04-26
HUM,2024-04-26
HWM,2024-04-26
IBM,2024-04-26
ICE,2024-04-26
IDXX,2024-04-26
IEX,2024-04-26
IFF,2024-04-26
INCY,2024-04-26
INTC,2024-04-26
INTU,2024-04-26
INVH,2024-04-26
IP,2024-04-26
IPG,2024-04-26
IQV,2024-04-26
IR,2024-04-26
IRM,2024-04-26
ISRG,2024-04-26
IT,2024-04-26
ITW,2024-04-26
IVZ,2024-04-26
J,2024-04-26
JBHT,2024-04-26
JBL,2024-04-26
JCI,2024-04-26
JKHY,2024-04-26
JNJ,2024-04-26
JNPR,2024-04-26
JPM,2024-04-26
K,2024-04-26
KDP,2024-04-26
KEY,2024-04-26
KEYS,2024-04-26
KHC,2024-04-26
KIM,2024-04-26
KKR,2024-04-26
KLAC,2024-04-26
KMB,2024-04-26
KMI,2024-04-26
KMX,2024-04-26
KO,2024-04-26
KR,2024-04-26
L,2024-04-26
LDOS,2024-04-26
LEN,2024-04-26
LH,2024-04-26
LHX,2024-04-26
LII,2024-04-26
LIN,2024-04-26
LKQ,2024-04-26
LLY,2024-04-26
LMT,2024-04-26
LNT,2024-04-26
LOW,2024-04-26
LRCX,2024-04-26
LULU,2024-04-26
LUV,2024-04-26
LVS,2024-04-26
LW,2024-04-26
LYB,2024-04-26
LYV,2024-04-26
MA,2024-04-26
MAA,2024-04-26
MAR,2024-04-26
MAS,2024-04-26
MCD,2024-04-26
MCHP,2024-04-26
MCK,2024-04-26
MCO,2024-04-26
MDLZ,2024-04-26
MDT,2024-04-26
MET,2024-04-26
META,2024-04-26
MGM,2024-04-26
MHK,2024-04-26
MKC,2024-04-26
MKTX,2024-04-26
MLM,2024-04-26
MMC,2024-04-26
MMM,2024-04-26
MNST,2024-04-26
MO,2024-04-26
MOH,2024-04-26
MOS,2024-04-26
MPC,2024-04-26
MPWR,2024-04-26
MRK,2024-04-26
MRNA,2024-04-26
MS,2024-04-26
MSCI,2024-04-26
MSFT,2024-04-26
MSI,2024-04-26
MTB,2024-04-26
MTCH,2024-04-26
MTD,2024-04-26
MU,2024-04-26
NCLH,2024-04-26
NDAQ,2024-04-26
NDSN,2024-04-26
NEE,2024-04-26
NEM,2024-04-26
NFLX,2024-04-26
NI,2024-04-26
NKE,2024-04-26
NOC,2024-04-26
NOW,2024-04-26
NRG,2024-04-26
NSC,2024-04-26
NTAP,2024-04-26
NTRS,2024-04-26
NUE,2024-04-26
NVDA,2024-04-26
NVR,2024-04-26
NWS,2024-04-26
NWSA,2024-04-26
NXPI,2024-04-26
O,2024-04-26
ODFL,2024-04-26
OKE,2024-04-26
OMC,2024-04-26
ON,2024-04-26
ORCL,2024-04-26
ORLY,2024-04-26
OXY,2024-04-26
