code,dt
A,2022-04-25
AAPL,2022-04-25
ABBV,2022-04-25
ABT,2022-04-25
ACGL,2022-04-25
ACN,2022-04-25
ADBE,2022-04-25
ADI,2022-04-25
ADM,2022-04-25
ADP,2022-04-25
ADSK,2022-04-25
AEE,2022-04-25
AEP,2022-04-25
AES,2022-04-25
AFL,2022-04-25
AIG,2022-04-25
AIZ,2022-04-25
AJG,2022-04-25
AKAM,2022-04-25
ALB,2022-04-25
ALGN,2022-04-25
ALL,2022-04-25
ALLE,2022-04-25
AMAT,2022-04-25
AMCR,2022-04-25
AMD,2022-04-25
AME,2022-04-25
AMGN,2022-04-25
AMP,2022-04-25
AMT,2022-04-25
AMZN,2022-04-25
ANET,2022-04-25
ANSS,2022-04-25
AON,2022-04-25
AOS,2022-04-25
APA,2022-04-25
APD,2022-04-25
APH,2022-04-25
APO,2022-04-25
APTV,2022-04-25
ARE,2022-04-25
ATO,2022-04-25
AVB,2022-04-25
AVGO,2022-04-25
AVY,2022-04-25
AWK,2022-04-25
AXON,2022-04-25
AXP,2022-04-25
AZO,2022-04-25
BA,2022-04-25
BAC,2022-04-25
BALL,2022-04-25
BAX,2022-04-25
BBY,2022-04-25
BDX,2022-04-25
BEN,2022-04-25
BG,2022-04-25
BK,2022-04-25
BKNG,2022-04-25
BKR,2022-04-25
BLDR,2022-04-25
BLK,2022-04-25
BMY,2022-04-25
BR,2022-04-25
BRO,2022-04-25
BSX,2022-04-25
BX,2022-04-25
BXP,2022-04-25
C,2022-04-25
CAG,2022-04-25
CAH,2022-04-25
CAT,2022-04-25
CB,2022-04-25
CBOE,2022-04-25
CBRE,2022-04-25
CCL,2022-04-25
CDNS,2022-04-25
CDW,2022-04-25
CF,2022-04-25
CFG,2022-04-25
CHD,2022-04-25
CHRW,2022-04-25
CHTR,2022-04-25
CI,2022-04-25
CINF,2022-04-25
CL,2022-04-25
CLX,2022-04-25
CMCSA,2022-04-25
CME,2022-04-25
CMG,2022-04-25
CMI,2022-04-25
CMS,2022-04-25
CNC,2022-04-25
CNP,2022-04-25
COF,2022-04-25
COO,2022-04-25
COP,2022-04-25
COR,2022-04-25
COST,2022-04-25
CPAY,2022-04-25
CPB,2022-04-25
CPRT,2022-04-25
CPT,2022-04-25
CRL,2022-04-25
CRM,2022-04-25
CRWD,2022-04-25
CSCO,2022-04-25
CSGP,2022-04-25
CSX,2022-04-25
CTAS,2022-04-25
CTRA,2022-04-25
CTSH,2022-04-25
CTVA,2022-04-25
CVS,2022-04-25
CVX,2022-04-25
CZR,2022-04-25
D,2022-04-25
DAL,2022-04-25
DAY,2022-04-25
DD,2022-04-25
DE,2022-04-25
DECK,2022-04-25
DELL,2022-04-25
DFS,2022-04-25
DG,2022-04-25
DGX,2022-04-25
DHI,2022-04-25
DHR,2022-04-25
DIS,2022-04-25
DLR,2022-04-25
DLTR,2022-04-25
DOC,2022-04-25
DOV,2022-04-25
DOW,2022-04-25
DPZ,2022-04-25
DRI,2022-04-25
DTE,2022-04-25
DUK,2022-04-25
DVA,2022-04-25
DVN,2022-04-25
DXCM,2022-04-25
EA,2022-04-25
EBAY,2022-04-25
ECL,2022-04-25
ED,2022-04-25
EFX,2022-04-25
EG,2022-04-25
EIX,2022-04-25
EL,2022-04-25
ELV,2022-04-25
EMN,2022-04-25
EMR,2022-04-25
ENPH,2022-04-25
EOG,2022-04-25
EPAM,2022-04-25
EQIX,2022-04-25
EQR,2022-04-25
EQT,2022-04-25
ERIE,2022-04-25
ES,2022-04-25
ESS,2022-04-25
ETN,2022-04-25
ETR,2022-04-25
EVRG,2022-04-25
EW,2022-04-25
EXC,2022-04-25
EXPD,2022-04-25
EXPE,2022-04-25
EXR,2022-04-25
F,2022-04-25
FANG,2022-04-25
FAST,2022-04-25
FCX,2022-04-25
FDS,2022-04-25
FDX,2022-04-25
FE,2022-04-25
FFIV,2022-04-25
FI,2022-04-25
FICO,2022-04-25
FIS,2022-04-25
FITB,2022-04-25
FOX,2022-04-25
FOXA,2022-04-25
FRT,2022-04-25
FSLR,2022-04-25
FTNT,2022-04-25
FTV,2022-04-25
GD,2022-04-25
GDDY,2022-04-25
GE,2022-04-25
GEN,2022-04-25
GILD,2022-04-25
GIS,2022-04-25
GL,2022-04-25
GLW,2022-04-25
GM,2022-04-25
GNRC,2022-04-25
GOOG,2022-04-25
GOOGL,2022-04-25
GPC,2022-04-25
GPN,2022-04-25
GRMN,2022-04-25
GS,2022-04-25
GWW,2022-04-25
HAL,2022-04-25
HAS,2022-04-25
HBAN,2022-04-25
HCA,2022-04-25
HD,2022-04-25
HES,2022-04-25
HIG,2022-04-25
HII,2022-04-25
HLT,2022-04-25
HOLX,2022-04-25
HON,2022-04-25
HPE,2022-04-25
HPQ,2022-04-25
HRL,2022-04-25
HSIC,2022-04-25
HST,2022-04-25
HSY,2022-04-25
HUBB,2022-04-25
HUM,2022-04-25
HWM,2022-04-25
IBM,2022-04-25
ICE,2022-04-25
IDXX,2022-04-25
IEX,2022-04-25
IFF,2022-04-25
INCY,2022-04-25
INTC,2022-04-25
INTU,2022-04-25
INVH,2022-04-25
IP,2022-04-25
IPG,2022-04-25
IQV,2022-04-25
IR,2022-04-25
IRM,2022-04-25
ISRG,2022-04-25
IT,2022-04-25
ITW,2022-04-25
IVZ,2022-04-25
J,2022-04-25
JBHT,2022-04-25
JBL,2022-04-25
JCI,2022-04-25
JKHY,2022-04-25
JNJ,2022-04-25
JNPR,2022-04-25
JPM,2022-04-25
K,2022-04-25
KDP,2022-04-25
KEY,2022-04-25
KEYS,2022-04-25
