code,dt
A,2021-01-05
AAPL,2021-01-05
ABBV,2021-01-05
ABT,2021-01-05
ACGL,2021-01-05
ACN,2021-01-05
ADBE,2021-01-05
ADI,2021-01-05
ADM,2021-01-05
ADP,2021-01-05
ADSK,2021-01-05
AEE,2021-01-05
AEP,2021-01-05
AES,2021-01-05
AFL,2021-01-05
AIG,2021-01-05
AIZ,2021-01-05
AJG,2021-01-05
AKAM,2021-01-05
ALB,2021-01-05
ALGN,2021-01-05
ALL,2021-01-05
ALLE,2021-01-05
AMAT,2021-01-05
AMCR,2021-01-05
AMD,2021-01-05
AME,2021-01-05
AMGN,2021-01-05
AMP,2021-01-05
AMT,2021-01-05
AMZN,2021-01-05
ANET,2021-01-05
ANSS,2021-01-05
AON,2021-01-05
AOS,2021-01-05
APA,2021-01-05
APD,2021-01-05
APH,2021-01-05
APO,2021-01-05
APTV,2021-01-05
ARE,2021-01-05
ATO,2021-01-05
AVB,2021-01-05
AVGO,2021-01-05
AVY,2021-01-05
AWK,2021-01-05
AXON,2021-01-05
AXP,2021-01-05
AZO,2021-01-05
BA,2021-01-05
BAC,2021-01-05
BALL,2021-01-05
BAX,2021-01-05
BBY,2021-01-05
BDX,2021-01-05
BEN,2021-01-05
BG,2021-01-05
BK,2021-01-05
BKNG,2021-01-05
BKR,2021-01-05
BLDR,2021-01-05
BLK,2021-01-05
BMY,2021-01-05
BR,2021-01-05
BRO,2021-01-05
BSX,2021-01-05
BX,2021-01-05
BXP,2021-01-05
C,2021-01-05
CAG,2021-01-05
CAH,2021-01-05
CAT,2021-01-05
CB,2021-01-05
CBOE,2021-01-05
CBRE,2021-01-05
CCL,2021-01-05
CDNS,2021-01-05
CDW,2021-01-05
CF,2021-01-05
CFG,2021-01-05
CHD,2021-01-05
CHRW,2021-01-05
CHTR,2021-01-05
CI,2021-01-05
CINF,2021-01-05
CL,2021-01-05
CLX,2021-01-05
CMCSA,2021-01-05
CME,2021-01-05
CMG,2021-01-05
CMI,2021-01-05
CMS,2021-01-05
CNC,2021-01-05
CNP,2021-01-05
COF,2021-01-05
COO,2021-01-05
COP,2021-01-05
COR,2021-01-05
COST,2021-01-05
CPAY,2021-01-05
CPB,2021-01-05
CPRT,2021-01-05
CPT,2021-01-05
CRL,2021-01-05
CRM,2021-01-05
CRWD,2021-01-05
CSCO,2021-01-05
CSGP,2021-01-05
CSX,2021-01-05
CTAS,2021-01-05
CTRA,2021-01-05
CTSH,2021-01-05
CTVA,2021-01-05
CVS,2021-01-05
CVX,2021-01-05
CZR,2021-01-05
D,2021-01-05
DAL,2021-01-05
DAY,2021-01-05
DD,2021-01-05
DE,2021-01-05
DECK,2021-01-05
DELL,2021-01-05
DFS,2021-01-05
DG,2021-01-05
DGX,2021-01-05
DHI,2021-01-05
DHR,2021-01-05
DIS,2021-01-05
DLR,2021-01-05
DLTR,2021-01-05
DOC,2021-01-05
DOV,2021-01-05
DOW,2021-01-05
DPZ,2021-01-05
DRI,2021-01-05
DTE,2021-01-05
DUK,2021-01-05
DVA,2021-01-05
DVN,2021-01-05
DXCM,2021-01-05
EA,2021-01-05
EBAY,2021-01-05
ECL,2021-01-05
ED,2021-01-05
EFX,2021-01-05
EG,2021-01-05
