code,dt
A,2022-05-24
AAPL,2022-05-24
ABBV,2022-05-24
ABT,2022-05-24
ACGL,2022-05-24
ACN,2022-05-24
ADBE,2022-05-24
ADI,2022-05-24
ADM,2022-05-24
ADP,2022-05-24
ADSK,2022-05-24
AEE,2022-05-24
AEP,2022-05-24
AES,2022-05-24
AFL,2022-05-24
AIG,2022-05-24
AIZ,2022-05-24
AJG,2022-05-24
AKAM,2022-05-24
ALB,2022-05-24
ALGN,2022-05-24
ALL,2022-05-24
ALLE,2022-05-24
AMAT,2022-05-24
AMCR,2022-05-24
AMD,2022-05-24
AME,2022-05-24
AMGN,2022-05-24
AMP,2022-05-24
AMT,2022-05-24
AMZN,2022-05-24
ANET,2022-05-24
ANSS,2022-05-24
AON,2022-05-24
AOS,2022-05-24
APA,2022-05-24
APD,2022-05-24
APH,2022-05-24
APO,2022-05-24
APTV,2022-05-24
ARE,2022-05-24
ATO,2022-05-24
AVB,2022-05-24
AVGO,2022-05-24
AVY,2022-05-24
AWK,2022-05-24
AXON,2022-05-24
AXP,2022-05-24
AZO,2022-05-24
BA,2022-05-24
BAC,2022-05-24
BALL,2022-05-24
BAX,2022-05-24
BBY,2022-05-24
BDX,2022-05-24
BEN,2022-05-24
BG,2022-05-24
BK,2022-05-24
BKNG,2022-05-24
BKR,2022-05-24
BLDR,2022-05-24
BLK,2022-05-24
BMY,2022-05-24
BR,2022-05-24
BRO,2022-05-24
BSX,2022-05-24
BX,2022-05-24
BXP,2022-05-24
C,2022-05-24
CAG,2022-05-24
CAH,2022-05-24
CAT,2022-05-24
CB,2022-05-24
CBOE,2022-05-24
CBRE,2022-05-24
CCL,2022-05-24
CDNS,2022-05-24
CDW,2022-05-24
CF,2022-05-24
CFG,2022-05-24
CHD,2022-05-24
CHRW,2022-05-24
CHTR,2022-05-24
CI,2022-05-24
CINF,2022-05-24
CL,2022-05-24
CLX,2022-05-24
CMCSA,2022-05-24
CME,2022-05-24
CMG,2022-05-24
CMI,2022-05-24
CMS,2022-05-24
CNC,2022-05-24
CNP,2022-05-24
COF,2022-05-24
COO,2022-05-24
COP,2022-05-24
COR,2022-05-24
COST,2022-05-24
CPAY,2022-05-24
CPB,2022-05-24
CPRT,2022-05-24
CPT,2022-05-24
CRL,2022-05-24
CRM,2022-05-24
CRWD,2022-05-24
CSCO,2022-05-24
CSGP,2022-05-24
