code,dt
A,2021-11-23
AAPL,2021-11-23
ABBV,2021-11-23
ABT,2021-11-23
ACGL,2021-11-23
ACN,2021-11-23
ADBE,2021-11-23
ADI,2021-11-23
ADM,2021-11-23
ADP,2021-11-23
ADSK,2021-11-23
AEE,2021-11-23
AEP,2021-11-23
AES,2021-11-23
AFL,2021-11-23
AIG,2021-11-23
AIZ,2021-11-23
AJG,2021-11-23
AKAM,2021-11-23
ALB,2021-11-23
ALGN,2021-11-23
ALL,2021-11-23
ALLE,2021-11-23
AMAT,2021-11-23
AMCR,2021-11-23
AMD,2021-11-23
AME,2021-11-23
AMGN,2021-11-23
AMP,2021-11-23
AMT,2021-11-23
AMZN,2021-11-23
ANET,2021-11-23
ANSS,2021-11-23
AON,2021-11-23
AOS,2021-11-23
APA,2021-11-23
APD,2021-11-23
APH,2021-11-23
APO,2021-11-23
APTV,2021-11-23
ARE,2021-11-23
ATO,2021-11-23
AVB,2021-11-23
AVGO,2021-11-23
AVY,2021-11-23
AWK,2021-11-23
AXON,2021-11-23
AXP,2021-11-23
AZO,2021-11-23
BA,2021-11-23
BAC,2021-11-23
BALL,2021-11-23
BAX,2021-11-23
BBY,2021-11-23
BDX,2021-11-23
BEN,2021-11-23
BG,2021-11-23
BK,2021-11-23
BKNG,2021-11-23
BKR,2021-11-23
BLDR,2021-11-23
BLK,2021-11-23
BMY,2021-11-23
BR,2021-11-23
BRO,2021-11-23
BSX,2021-11-23
BX,2021-11-23
BXP,2021-11-23
C,2021-11-23
CAG,2021-11-23
CAH,2021-11-23
CAT,2021-11-23
CB,2021-11-23
CBOE,2021-11-23
CBRE,2021-11-23
CCL,2021-11-23
CDNS,2021-11-23
CDW,2021-11-23
CF,2021-11-23
CFG,2021-11-23
CHD,2021-11-23
CHRW,2021-11-23
CHTR,2021-11-23
CI,2021-11-23
CINF,2021-11-23
CL,2021-11-23
CLX,2021-11-23
CMCSA,2021-11-23
CME,2021-11-23
CMG,2021-11-23
CMI,2021-11-23
CMS,2021-11-23
CNC,2021-11-23
CNP,2021-11-23
COF,2021-11-23
COO,2021-11-23
COP,2021-11-23
COR,2021-11-23
COST,2021-11-23
CPAY,2021-11-23
CPB,2021-11-23
CPRT,2021-11-23
CPT,2021-11-23
CRL,2021-11-23
CRM,2021-11-23
CRWD,2021-11-23
CSCO,2021-11-23
CSGP,2021-11-23
CSX,2021-11-23
CTAS,2021-11-23
CTRA,2021-11-23
CTSH,2021-11-23
CTVA,2021-11-23
CVS,2021-11-23
CVX,2021-11-23
CZR,2021-11-23
D,2021-11-23
DAL,2021-11-23
DAY,2021-11-23
DD,2021-11-23
DE,2021-11-23
DECK,2021-11-23
DELL,2021-11-23
DFS,2021-11-23
DG,2021-11-23
DGX,2021-11-23
DHI,2021-11-23
DHR,2021-11-23
DIS,2021-11-23
DLR,2021-11-23
DLTR,2021-11-23
DOC,2021-11-23
DOV,2021-11-23
DOW,2021-11-23
DPZ,2021-11-23
DRI,2021-11-23
DTE,2021-11-23
DUK,2021-11-23
DVA,2021-11-23
DVN,2021-11-23
DXCM,2021-11-23
EA,2021-11-23
EBAY,2021-11-23
ECL,2021-11-23
ED,2021-11-23
EFX,2021-11-23
EG,2021-11-23
EIX,2021-11-23
EL,2021-11-23
ELV,2021-11-23
EMN,2021-11-23
EMR,2021-11-23
ENPH,2021-11-23
EOG,2021-11-23
EPAM,2021-11-23
EQIX,2021-11-23
EQR,2021-11-23
EQT,2021-11-23
ERIE,2021-11-23
ES,2021-11-23
ESS,2021-11-23
ETN,2021-11-23
ETR,2021-11-23
EVRG,2021-11-23
EW,2021-11-23
EXC,2021-11-23
EXPD,2021-11-23
EXPE,2021-11-23
EXR,2021-11-23
F,2021-11-23
FANG,2021-11-23
FAST,2021-11-23
FCX,2021-11-23
FDS,2021-11-23
FDX,2021-11-23
FE,2021-11-23
FFIV,2021-11-23
FI,2021-11-23
FICO,2021-11-23
FIS,2021-11-23
FITB,2021-11-23
FOX,2021-11-23
FOXA,2021-11-23
FRT,2021-11-23
FSLR,2021-11-23
FTNT,2021-11-23
FTV,2021-11-23
GD,2021-11-23
GDDY,2021-11-23
GE,2021-11-23
GEN,2021-11-23
GILD,2021-11-23
GIS,2021-11-23
GL,2021-11-23
GLW,2021-11-23
GM,2021-11-23
GNRC,2021-11-23
GOOG,2021-11-23
GOOGL,2021-11-23
GPC,2021-11-23
GPN,2021-11-23
GRMN,2021-11-23
GS,2021-11-23
GWW,2021-11-23
HAL,2021-11-23
