code,dt
A,2023-06-06
AAPL,2023-06-06
ABBV,2023-06-06
ABT,2023-06-06
ACGL,2023-06-06
ACN,2023-06-06
ADBE,2023-06-06
ADI,2023-06-06
ADM,2023-06-06
ADP,2023-06-06
ADSK,2023-06-06
AEE,2023-06-06
AEP,2023-06-06
AES,2023-06-06
AFL,2023-06-06
AIG,2023-06-06
AIZ,2023-06-06
AJG,2023-06-06
AKAM,2023-06-06
ALB,2023-06-06
ALGN,2023-06-06
ALL,2023-06-06
ALLE,2023-06-06
AMAT,2023-06-06
AMCR,2023-06-06
AMD,2023-06-06
AME,2023-06-06
AMGN,2023-06-06
AMP,2023-06-06
AMT,2023-06-06
AMZN,2023-06-06
ANET,2023-06-06
ANSS,2023-06-06
AON,2023-06-06
AOS,2023-06-06
APA,2023-06-06
APD,2023-06-06
APH,2023-06-06
APO,2023-06-06
APTV,2023-06-06
ARE,2023-06-06
ATO,2023-06-06
AVB,2023-06-06
AVGO,2023-06-06
AVY,2023-06-06
AWK,2023-06-06
AXON,2023-06-06
AXP,2023-06-06
AZO,2023-06-06
BA,2023-06-06
BAC,2023-06-06
BALL,2023-06-06
BAX,2023-06-06
BBY,2023-06-06
BDX,2023-06-06
BEN,2023-06-06
BG,2023-06-06
BK,2023-06-06
BKNG,2023-06-06
BKR,2023-06-06
BLDR,2023-06-06
BLK,2023-06-06
BMY,2023-06-06
BR,2023-06-06
BRO,2023-06-06
BSX,2023-06-06
BX,2023-06-06
BXP,2023-06-06
C,2023-06-06
CAG,2023-06-06
CAH,2023-06-06
CAT,2023-06-06
CB,2023-06-06
CBOE,2023-06-06
CBRE,2023-06-06
CCL,2023-06-06
CDNS,2023-06-06
CDW,2023-06-06
CF,2023-06-06
CFG,2023-06-06
CHD,2023-06-06
CHRW,2023-06-06
CHTR,2023-06-06
CI,2023-06-06
CINF,2023-06-06
CL,2023-06-06
CLX,2023-06-06
CMCSA,2023-06-06
CME,2023-06-06
CMG,2023-06-06
CMI,2023-06-06
CMS,2023-06-06
CNC,2023-06-06
CNP,2023-06-06
COF,2023-06-06
COO,2023-06-06
COP,2023-06-06
COR,2023-06-06
COST,2023-06-06
CPAY,2023-06-06
CPB,2023-06-06
CPRT,2023-06-06
CPT,2023-06-06
CRL,2023-06-06
CRM,2023-06-06
CRWD,2023-06-06
CSCO,2023-06-06
CSGP,2023-06-06
CSX,2023-06-06
CTAS,2023-06-06
CTRA,2023-06-06
CTSH,2023-06-06
CTVA,2023-06-06
CVS,2023-06-06
CVX,2023-06-06
CZR,2023-06-06
D,2023-06-06
DAL,2023-06-06
