code,dt
A,2020-09-08
AAPL,2020-09-08
ABBV,2020-09-08
ABT,2020-09-08
ACGL,2020-09-08
ACN,2020-09-08
ADBE,2020-09-08
ADI,2020-09-08
ADM,2020-09-08
ADP,2020-09-08
ADSK,2020-09-08
AEE,2020-09-08
AEP,2020-09-08
AES,2020-09-08
AFL,2020-09-08
AIG,2020-09-08
AIZ,2020-09-08
AJG,2020-09-08
AKAM,2020-09-08
ALB,2020-09-08
ALGN,2020-09-08
ALL,2020-09-08
ALLE,2020-09-08
AMAT,2020-09-08
AMCR,2020-09-08
AMD,2020-09-08
AME,2020-09-08
AMGN,2020-09-08
AMP,2020-09-08
AMT,2020-09-08
AMZN,2020-09-08
ANET,2020-09-08
ANSS,2020-09-08
AON,2020-09-08
AOS,2020-09-08
APA,2020-09-08
APD,2020-09-08
APH,2020-09-08
APO,2020-09-08
APTV,2020-09-08
ARE,2020-09-08
ATO,2020-09-08
AVB,2020-09-08
AVGO,2020-09-08
AVY,2020-09-08
AWK,2020-09-08
AXON,2020-09-08
AXP,2020-09-08
AZO,2020-09-08
BA,2020-09-08
BAC,2020-09-08
BALL,2020-09-08
BAX,2020-09-08
BBY,2020-09-08
BDX,2020-09-08
BEN,2020-09-08
BG,2020-09-08
BK,2020-09-08
BKNG,2020-09-08
BKR,2020-09-08
BLDR,2020-09-08
BLK,2020-09-08
BMY,2020-09-08
BR,2020-09-08
BRO,2020-09-08
BSX,2020-09-08
BX,2020-09-08
BXP,2020-09-08
C,2020-09-08
CAG,2020-09-08
CAH,2020-09-08
CAT,2020-09-08
CB,2020-09-08
CBOE,2020-09-08
CBRE,2020-09-08
CCL,2020-09-08
CDNS,2020-09-08
CDW,2020-09-08
CF,2020-09-08
CFG,2020-09-08
CHD,2020-09-08
CHRW,2020-09-08
CHTR,2020-09-08
CI,2020-09-08
CINF,2020-09-08
CL,2020-09-08
CLX,2020-09-08
CMCSA,2020-09-08
CME,2020-09-08
CMG,2020-09-08
CMI,2020-09-08
CMS,2020-09-08
CNC,2020-09-08
CNP,2020-09-08
COF,2020-09-08
COO,2020-09-08
COP,2020-09-08
COR,2020-09-08
COST,2020-09-08
CPAY,2020-09-08
CPB,2020-09-08
