code,dt
A,2021-07-27
AAPL,2021-07-27
ABBV,2021-07-27
ABT,2021-07-27
ACGL,2021-07-27
ACN,2021-07-27
ADBE,2021-07-27
ADI,2021-07-27
ADM,2021-07-27
ADP,2021-07-27
ADSK,2021-07-27
AEE,2021-07-27
AEP,2021-07-27
AES,2021-07-27
AFL,2021-07-27
AIG,2021-07-27
AIZ,2021-07-27
AJG,2021-07-27
AKAM,2021-07-27
ALB,2021-07-27
ALGN,2021-07-27
ALL,2021-07-27
ALLE,2021-07-27
AMAT,2021-07-27
AMCR,2021-07-27
AMD,2021-07-27
AME,2021-07-27
AMGN,2021-07-27
AMP,2021-07-27
AMT,2021-07-27
AMZN,2021-07-27
ANET,2021-07-27
ANSS,2021-07-27
AON,2021-07-27
AOS,2021-07-27
APA,2021-07-27
APD,2021-07-27
APH,2021-07-27
APO,2021-07-27
APTV,2021-07-27
ARE,2021-07-27
ATO,2021-07-27
AVB,2021-07-27
AVGO,2021-07-27
AVY,2021-07-27
AWK,2021-07-27
AXON,2021-07-27
AXP,2021-07-27
AZO,2021-07-27
BA,2021-07-27
BAC,2021-07-27
BALL,2021-07-27
BAX,2021-07-27
BBY,2021-07-27
BDX,2021-07-27
BEN,2021-07-27
BG,2021-07-27
BK,2021-07-27
BKNG,2021-07-27
BKR,2021-07-27
BLDR,2021-07-27
BLK,2021-07-27
BMY,2021-07-27
BR,2021-07-27
BRO,2021-07-27
BSX,2021-07-27
BX,2021-07-27
BXP,2021-07-27
C,2021-07-27
CAG,2021-07-27
CAH,2021-07-27
CAT,2021-07-27
CB,2021-07-27
CBOE,2021-07-27
CBRE,2021-07-27
CCL,2021-07-27
CDNS,2021-07-27
CDW,2021-07-27
CF,2021-07-27
CFG,2021-07-27
CHD,2021-07-27
CHRW,2021-07-27
CHTR,2021-07-27
CI,2021-07-27
CINF,2021-07-27
CL,2021-07-27
CLX,2021-07-27
CMCSA,2021-07-27
CME,2021-07-27
CMG,2021-07-27
CMI,2021-07-27
CMS,2021-07-27
CNC,2021-07-27
CNP,2021-07-27
COF,2021-07-27
COO,2021-07-27
COP,2021-07-27
COR,2021-07-27
COST,2021-07-27
CPAY,2021-07-27
CPB,2021-07-27
CPRT,2021-07-27
CPT,2021-07-27
CRL,2021-07-27
CRM,2021-07-27
CRWD,2021-07-27
CSCO,2021-07-27
CSGP,2021-07-27
CSX,2021-07-27
CTAS,2021-07-27
CTRA,2021-07-27
CTSH,2021-07-27
CTVA,2021-07-27
CVS,2021-07-27
CVX,2021-07-27
CZR,2021-07-27
D,2021-07-27
DAL,2021-07-27
DAY,2021-07-27
DD,2021-07-27
DE,2021-07-27
DECK,2021-07-27
DELL,2021-07-27
DFS,2021-07-27
DG,2021-07-27
DGX,2021-07-27
DHI,2021-07-27
DHR,2021-07-27
DIS,2021-07-27
DLR,2021-07-27
DLTR,2021-07-27
DOC,2021-07-27
DOV,2021-07-27
DOW,2021-07-27
DPZ,2021-07-27
DRI,2021-07-27
DTE,2021-07-27
DUK,2021-07-27
DVA,2021-07-27
DVN,2021-07-27
DXCM,2021-07-27
EA,2021-07-27
EBAY,2021-07-27
ECL,2021-07-27
ED,2021-07-27
EFX,2021-07-27
EG,2021-07-27
EIX,2021-07-27
EL,2021-07-27
ELV,2021-07-27
EMN,2021-07-27
EMR,2021-07-27
ENPH,2021-07-27
EOG,2021-07-27
EPAM,2021-07-27
EQIX,2021-07-27
EQR,2021-07-27
EQT,2021-07-27
ERIE,2021-07-27
ES,2021-07-27
ESS,2021-07-27
ETN,2021-07-27
ETR,2021-07-27
EVRG,2021-07-27
EW,2021-07-27
EXC,2021-07-27
EXPD,2021-07-27
EXPE,2021-07-27
EXR,2021-07-27
F,2021-07-27
FANG,2021-07-27
FAST,2021-07-27
FCX,2021-07-27
FDS,2021-07-27
FDX,2021-07-27
FE,2021-07-27
FFIV,2021-07-27
FI,2021-07-27
FICO,2021-07-27
FIS,2021-07-27
FITB,2021-07-27
FOX,2021-07-27
FOXA,2021-07-27
FRT,2021-07-27
FSLR,2021-07-27
FTNT,2021-07-27
FTV,2021-07-27
GD,2021-07-27
GDDY,2021-07-27
GE,2021-07-27
GEN,2021-07-27
GILD,2021-07-27
GIS,2021-07-27
GL,2021-07-27
GLW,2021-07-27
GM,2021-07-27
GNRC,2021-07-27
GOOG,2021-07-27
GOOGL,2021-07-27
GPC,2021-07-27
GPN,2021-07-27
GRMN,2021-07-27
GS,2021-07-27
GWW,2021-07-27
HAL,2021-07-27
HAS,2021-07-27
HBAN,2021-07-27
HCA,2021-07-27
HD,2021-07-27
HES,2021-07-27
HIG,2021-07-27
HII,2021-07-27
HLT,2021-07-27
HOLX,2021-07-27
HON,2021-07-27
HPE,2021-07-27
HPQ,2021-07-27
HRL,2021-07-27
HSIC,2021-07-27
HST,2021-07-27
HSY,2021-07-27
HUBB,2021-07-27
HUM,2021-07-27
HWM,2021-07-27
IBM,2021-07-27
ICE,2021-07-27
IDXX,2021-07-27
IEX,2021-07-27
IFF,2021-07-27
INCY,2021-07-27
INTC,2021-07-27
INTU,2021-07-27
INVH,2021-07-27
IP,2021-07-27
IPG,2021-07-27
IQV,2021-07-27
IR,2021-07-27
IRM,2021-07-27
ISRG,2021-07-27
IT,2021-07-27
ITW,2021-07-27
IVZ,2021-07-27
J,2021-07-27
JBHT,2021-07-27
JBL,2021-07-27
JCI,2021-07-27
JKHY,2021-07-27
JNJ,2021-07-27
JNPR,2021-07-27
JPM,2021-07-27
K,2021-07-27
KDP,2021-07-27
KEY,2021-07-27
KEYS,2021-07-27
KHC,2021-07-27
KIM,2021-07-27
KKR,2021-07-27
KLAC,2021-07-27
KMB,2021-07-27
KMI,2021-07-27
KMX,2021-07-27
KO,2021-07-27
KR,2021-07-27
L,2021-07-27
LDOS,2021-07-27
LEN,2021-07-27
LH,2021-07-27
LHX,2021-07-27
LII,2021-07-27
LIN,2021-07-27
LKQ,2021-07-27
LLY,2021-07-27
LMT,2021-07-27
LNT,2021-07-27
LOW,2021-07-27
LRCX,2021-07-27
LULU,2021-07-27
LUV,2021-07-27
LVS,2021-07-27
LW,2021-07-27
LYB,2021-07-27
LYV,2021-07-27
MA,2021-07-27
MAA,2021-07-27
MAR,2021-07-27
MAS,2021-07-27
MCD,2021-07-27
MCHP,2021-07-27
MCK,2021-07-27
MCO,2021-07-27
MDLZ,2021-07-27
MDT,2021-07-27
MET,2021-07-27
META,2021-07-27
MGM,2021-07-27
MHK,2021-07-27
MKC,2021-07-27
MKTX,2021-07-27
MLM,2021-07-27
MMC,2021-07-27
MMM,2021-07-27
MNST,2021-07-27
MO,2021-07-27
MOH,2021-07-27
MOS,2021-07-27
MPC,2021-07-27
MPWR,2021-07-27
MRK,2021-07-27
MRNA,2021-07-27
MS,2021-07-27
MSCI,2021-07-27
MSFT,2021-07-27
MSI,2021-07-27
MTB,2021-07-27
MTCH,2021-07-27
MTD,2021-07-27
MU,2021-07-27
NCLH,2021-07-27
NDAQ,2021-07-27
NDSN,2021-07-27
NEE,2021-07-27
NEM,2021-07-27
NFLX,2021-07-27
NI,2021-07-27
NKE,2021-07-27
NOC,2021-07-27
NOW,2021-07-27
NRG,2021-07-27
NSC,2021-07-27
NTAP,2021-07-27
NTRS,2021-07-27
NUE,2021-07-27
NVDA,2021-07-27
NVR,2021-07-27
NWS,2021-07-27
NWSA,2021-07-27
NXPI,2021-07-27
O,2021-07-27
ODFL,2021-07-27
OKE,2021-07-27
OMC,2021-07-27
ON,2021-07-27
ORCL,2021-07-27
ORLY,2021-07-27
OXY,2021-07-27
PANW,2021-07-27
PARA,2021-07-27
PAYC,2021-07-27
PAYX,2021-07-27
PCAR,2021-07-27
PCG,2021-07-27
PEG,2021-07-27
PEP,2021-07-27
PFE,2021-07-27
PFG,2021-07-27
PG,2021-07-27
PGR,2021-07-27
PH,2021-07-27
PHM,2021-07-27
PKG,2021-07-27
PLD,2021-07-27
PM,2021-07-27
PNC,2021-07-27
PNR,2021-07-27
PNW,2021-07-27
PODD,2021-07-27
POOL,2021-07-27
PPG,2021-07-27
PPL,2021-07-27
PRU,2021-07-27
PSA,2021-07-27
PSX,2021-07-27
PTC,2021-07-27
PWR,2021-07-27
PYPL,2021-07-27
QCOM,2021-07-27
RCL,2021-07-27
REG,2021-07-27
REGN,2021-07-27
RF,2021-07-27
RJF,2021-07-27
RL,2021-07-27
RMD,2021-07-27
ROK,2021-07-27
ROL,2021-07-27
ROP,2021-07-27
ROST,2021-07-27
RSG,2021-07-27
RTX,2021-07-27
RVTY,2021-07-27
SBAC,2021-07-27
SBUX,2021-07-27
SCHW,2021-07-27
SHW,2021-07-27
SJM,2021-07-27
SLB,2021-07-27
SMCI,2021-07-27
SNA,2021-07-27
SNPS,2021-07-27
SO,2021-07-27
SPG,2021-07-27
SPGI,2021-07-27
SRE,2021-07-27
STE,2021-07-27
STLD,2021-07-27
STT,2021-07-27
STX,2021-07-27
STZ,2021-07-27
SWK,2021-07-27
SWKS,2021-07-27
SYF,2021-07-27
SYK,2021-07-27
SYY,2021-07-27
T,2021-07-27
TAP,2021-07-27
TDG,2021-07-27
TDY,2021-07-27
TECH,2021-07-27
TEL,2021-07-27
TER,2021-07-27
TFC,2021-07-27
TGT,2021-07-27
TJX,2021-07-27
TKO,2021-07-27
TMO,2021-07-27
TMUS,2021-07-27
TPL,2021-07-27
TPR,2021-07-27
TRGP,2021-07-27
TRMB,2021-07-27
TROW,2021-07-27
TRV,2021-07-27
TSCO,2021-07-27
TSLA,2021-07-27
