,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.46,0.015,0.546,0.192,0.326,0.126,-0.13,0.515,-0.472
AAPL,0.46,0.0,0.698,0.157,0.85,0.596,0.776,0.671,0.745,-0.378
AMD,0.015,0.698,0.0,-0.334,0.86,0.666,0.769,0.773,0.502,-0.027
AMZN,0.546,0.157,-0.334,0.0,-0.155,-0.164,0.073,-0.289,-0.061,-0.399
GOOGL,0.192,0.85,0.86,-0.155,0.0,0.686,0.851,0.727,0.651,-0.187
INTC,0.326,0.596,0.666,-0.164,0.686,0.0,0.522,0.264,0.534,0.189
MARA,0.126,0.776,0.769,0.073,0.851,0.522,0.0,0.674,0.41,-0.149
NVDA,-0.13,0.671,0.773,-0.289,0.727,0.264,0.674,0.0,0.519,-0.201
PLUG,0.515,0.745,0.502,-0.061,0.651,0.534,0.41,0.519,0.0,-0.228
TSLA,-0.472,-0.378,-0.027,-0.399,-0.187,0.189,-0.149,-0.201,-0.228,0.0
